order_id,product_id,quantity
5535,2182,4
6709,1955,2
7183,2247,3
5102,1906,4
7704,1061,1
5850,2873,3
8175,2656,4
7024,2257,2
6602,1414,1
8334,2201,3
7375,1858,4
8227,1994,4
7126,1322,2
8377,1930,2
8190,1285,3
8180,2841,3
6601,1748,1
6103,2641,4
6757,2590,2
6313,1851,2
9351,1327,4
5316,1548,1
6783,2898,3
5672,1394,1
5598,1281,2
8904,2923,4
6680,2052,2
7113,1881,3
7682,2215,2
9504,2603,2
8387,1080,4
7407,1643,1
7396,2612,1
9778,2820,1
5825,1996,4
9541,1112,1
9262,2903,2
5097,1272,4
6256,1037,4
9777,1344,4
5801,2934,4
5444,2331,2
9077,2354,3
6120,1060,1
6246,2661,1
5285,2684,2
9784,2623,2
9340,2783,4
8160,1102,2
7545,2445,1
7214,2853,2
9058,2680,3
9498,1938,2
7296,1188,2
8187,1095,3
8304,1526,1
5974,2605,1
7279,2603,1
8379,1279,4
7994,2495,4
5964,2996,4
8358,1893,2
8525,2623,1
9042,1606,1
6841,2445,1
5763,2123,4
7135,1481,3
5201,1609,3
9156,1921,3
9365,2849,4
5956,1923,1
9483,2304,2
8700,2129,1
6295,2399,4
5880,2781,3
7418,1723,4
7017,1836,2
6415,2363,2
9291,2654,3
8290,1026,3
6098,2824,2
7555,2465,3
7016,1554,3
9627,1269,1
5271,2587,2
8243,2824,3
5752,2185,4
6102,1048,1
9587,2289,4
7067,1904,3
6867,1106,4
5952,2398,1
5634,2691,1
5739,1591,2
5228,1223,1
7860,1041,4
5879,2711,4
5418,2675,3
6209,1844,2
9060,2151,1
9956,2993,4
6633,2968,2
9594,2426,1
7525,2570,2
8454,2060,1
5774,1639,4
8454,1929,4
9647,2780,4
8858,1946,4
9359,2931,1
6119,2871,1
8075,2669,1
7927,1631,1
9499,2985,4
7099,1806,4
9453,1291,3
9438,2078,1
8748,1597,4
8409,1966,3
8818,2663,3
9370,1400,3
6754,2550,2
7941,1711,3
5006,2645,4
7730,2520,2
9662,1303,1
6133,1115,1
6283,1765,3
7820,2220,3
9158,1489,1
6217,1246,1
6069,1173,4
8683,1052,2
5671,1782,4
9711,1782,4
5178,1392,4
8000,1475,4
7945,2715,1
6015,1865,3
6217,2895,3
6775,2819,1
9157,2357,4
7889,1816,1
8791,2136,3
7802,2266,2
8946,2726,4
9090,1408,4
7946,2027,2
6474,1436,3
8459,1212,2
9246,1732,1
5943,2162,2
8331,2445,3
5721,1979,4
8227,1289,4
6777,2938,3
8982,2414,1
9836,2695,3
6451,2183,4
7759,2018,3
7731,2846,3
7812,1770,1
7402,2147,3
5205,1445,2
7111,1074,3
8300,1483,2
8534,2677,2
5727,2722,1
8660,1695,2
9706,2663,1
7831,2225,1
8354,2063,4
5747,2080,1
6039,1575,3
8181,2341,3
5672,2420,4
6629,1818,3
6775,1894,2
7511,2477,3
9211,1134,1
8209,1302,3
9221,1290,3
5111,2781,1
5214,1857,4
