order_id,customer_id,order_date,city
5001,208,2023-01-01,Chennai
5002,1,2023-01-02,Kolkata
5003,114,2023-01-03,Kolkata
5004,436,2023-01-04,Hyderabad
5005,709,2023-01-05,Hyderabad
5006,46,2023-01-06,Kolkata
5007,663,2023-01-07,Kolkata
5008,799,2023-01-08,Kolkata
5009,510,2023-01-09,Pune
5010,545,2023-01-10,Mumbai
5011,632,2023-01-11,Mumbai
5012,608,2023-01-12,Kolkata
5013,46,2023-01-13,Pune
5014,101,2023-01-14,Pune
5015,900,2023-01-15,Pune
5016,701,2023-01-16,Kolkata
5017,932,2023-01-17,Chennai
5018,20,2023-01-18,Mumbai
5019,611,2023-01-19,Delhi
5020,658,2023-01-20,Delhi
5021,237,2023-01-21,Kolkata
5022,260,2023-01-22,Pune
5023,701,2023-01-23,Bangalore
5024,457,2023-01-24,Chennai
5025,66,2023-01-25,Bangalore
5026,656,2023-01-26,Bangalore
5027,874,2023-01-27,Kolkata
5028,265,2023-01-28,Delhi
5029,377,2023-01-29,Delhi
5030,309,2023-01-30,Bangalore
5031,919,2023-01-31,Pune
5032,11,2023-02-01,Bangalore
5033,45,2023-02-02,Mumbai
5034,141,2023-02-03,Kolkata
5035,4,2023-02-04,Chennai
5036,279,2023-02-05,Pune
5037,653,2023-02-06,Bangalore
5038,666,2023-02-07,Chennai
5039,694,2023-02-08,Delhi
5040,91,2023-02-09,Hyderabad
5041,553,2023-02-10,Delhi
5042,170,2023-02-11,Mumbai
5043,641,2023-02-12,Mumbai
5044,696,2023-02-13,Hyderabad
5045,60,2023-02-14,Chennai
5046,743,2023-02-15,Mumbai
5047,181,2023-02-16,Delhi
5048,156,2023-02-17,Hyderabad
5049,553,2023-02-18,Delhi
5050,485,2023-02-19,Hyderabad
5051,726,2023-02-20,Chennai
5052,22,2023-02-21,Pune
5053,455,2023-02-22,Hyderabad
5054,77,2023-02-23,Mumbai
5055,648,2023-02-24,Delhi
5056,132,2023-02-25,Chennai
5057,505,2023-02-26,Hyderabad
5058,971,2023-02-27,Hyderabad
5059,28,2023-02-28,Pune
5060,698,2023-03-01,Kolkata
5061,242,2023-03-02,Bangalore
5062,498,2023-03-03,Chennai
5063,345,2023-03-04,Pune
5064,178,2023-03-05,Bangalore
5065,175,2023-03-06,Chennai
5066,714,2023-03-07,Chennai
5067,493,2023-03-08,Mumbai
5068,37,2023-03-09,Kolkata
5069,521,2023-03-10,Mumbai
5070,394,2023-03-11,Chennai
5071,484,2023-03-12,Chennai
5072,386,2023-03-13,Pune
5073,679,2023-03-14,Delhi
5074,405,2023-03-15,Mumbai
5075,46,2023-03-16,Chennai
5076,858,2023-03-17,Mumbai
5077,173,2023-03-18,Delhi
5078,602,2023-03-19,Mumbai
5079,966,2023-03-20,Kolkata
5080,321,2023-03-21,Kolkata
5081,104,2023-03-22,Kolkata
5082,315,2023-03-23,Pune
5083,967,2023-03-24,Hyderabad
5084,327,2023-03-25,Mumbai
5085,616,2023-03-26,Hyderabad
5086,755,2023-03-27,Kolkata
5087,530,2023-03-28,Chennai
5088,780,2023-03-29,Mumbai
5089,18,2023-03-30,Kolkata
5090,806,2023-03-31,Bangalore
5091,607,2023-04-01,Hyderabad
5092,186,2023-04-02,Kolkata
5093,882,2023-04-03,Kolkata
5094,714,2023-04-04,Kolkata
5095,781,2023-04-05,Hyderabad
5096,914,2023-04-06,Delhi
5097,639,2023-04-07,Bangalore
5098,805,2023-04-08,Kolkata
5099,673,2023-04-09,Chennai
5100,384,2023-04-10,Kolkata
5101,900,2023-04-11,Pune
5102,506,2023-04-12,Bangalore
5103,887,2023-04-13,Kolkata
5104,973,2023-04-14,Kolkata
5105,118,2023-04-15,Chennai
5106,240,2023-04-16,Mumbai
5107,678,2023-04-17,Pune
5108,501,2023-04-18,Bangalore
5109,712,2023-04-19,Kolkata
5110,239,2023-04-20,Bangalore
5111,702,2023-04-21,Bangalore
5112,518,2023-04-22,Bangalore
5113,146,2023-04-23,Bangalore
5114,275,2023-04-24,Mumbai
5115,531,2023-04-25,Kolkata
5116,850,2023-04-26,Hyderabad
5117,546,2023-04-27,Pune
5118,651,2023-04-28,Mumbai
5119,306,2023-04-29,Hyderabad
5120,522,2023-04-30,Pune
5121,667,2023-05-01,Chennai
5122,133,2023-05-02,Pune
5123,873,2023-05-03,Mumbai
5124,602,2023-05-04,Delhi
5125,115,2023-05-05,Pune
5126,230,2023-05-06,Kolkata
5127,328,2023-05-07,Pune
5128,354,2023-05-08,Kolkata
5129,786,2023-05-09,Delhi
5130,765,2023-05-10,Bangalore
5131,496,2023-05-11,Chennai
5132,488,2023-05-12,Hyderabad
